,City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
170,Berlin,Leonardo Royal Hotel Berlin Alexanderplatz,"Otto-Braun-Strasse 90, 10249 Berlin",8.5,"(8,655)",£289total,Booking.com
171,Berlin,Mercure Hotel Berlin Wittenbergplatz,"Wittenbergplatz 3, 10789 Berlin",8.9,"(2,899)",£237total,Booking.com
172,Berlin,Apartments Berlin Leberstraße 58,Schöneberg,7.6,(127),£196total,Booking.com
173,Berlin,NH Berlin Potsdamer Platz,"Stresemannstr. 47, 10963 Berlin",8.3,"(1,605)",£223total,NH Hotels
174,Berlin,Crowne Plaza Berlin - Potsdamer Platz,"Hallesche Str 10, 10963 Berlin",8.7,"(2,433)",£289total,Booking.com
175,Berlin,limehome Berlin Neue Straße,Tempelhof,8.0,(141),£281total,Booking.com
176,Berlin,Two Hotel Berlin By Axel - Adults Only,"Bundesallee 31a, 10717 Berlin",8.3,"(2,193)",£192total,Booking.com
177,Berlin,Steigenberger Hotel Am Kanzleramt,"Ella-Trebe-Straße 5, 10557 Berlin",8.8,"(5,154)",£422total,Booking.com
178,Berlin,Nena Apartments Metropolpark Berlin - Mitte,Mitte,8.2,"(1,491)",£302total,Booking.com
179,Orlando,DoubleTree by Hilton at the Entrance to Universal Orlando,"5780 Major Boulevard, Orlando, FL 32819",8.2,"(5,194)",£276total,Booking.com
180,Orlando,Penthouse Close to Disney area and Malls water view,"13428 Blue Heron Beach Drive Tower 1 suite 1603, Orlando, FL 32821",9.0,(14),£819total,Booking.com
181,Orlando,Hyatt Regency Grand Cypress,"1 Grand Cypress Boulevard, Orlando, FL 32836",9.0,"(2,226)",£842total,Booking.com
182,Orlando,Disney World - Universal Studio Family Vacation,,9.8,(21),£661total,Booking.com
183,Orlando,"Marriott's Grande Vista, A Marriott Vacation Club Resort","5925 Avenida Vista, Orlando, FL 32821",8.8,"(2,157)",£428total,Booking.com
184,Orlando,Hilton Grand Vacations at SeaWorld,"6924 Grand Vacations Way, Orlando, FL 32821",8.9,"(2,836)",£442total,Hotels.com
185,Orlando,Sunny Days,,10.0,(1),"£1,044total",Booking.com
186,Orlando,"Sheraton Vistana Resort Villas, Lake Buena Vista/Orlando","8800 Vistana Centre Drive, Orlando, FL 32821",8.8,"(2,247)",£455total,Booking.com
187,Orlando,Best Western Orlando Gateway Hotel,"7299 Universal Boulevard, Orlando, FL 32819-8353",8.0,"(6,639)",£302total,Booking.com
188,Orlando,Vista Cay Luxury Lakeview 4 bedroom condo (#3095),,9.3,(20),"£2,318total",Booking.com
189,Budapest,Barcelo Budapest,"Király Street 16, Budapest 1036",9.2,"(2,281)",£263total,Booking.com
190,Budapest,Anantara New York Palace Budapest,"Erzsebet Korut 9-11, Budapest 1073",9.1,"(2,966)",£484total,Anantara
191,Budapest,Ensana Thermal Margaret Island,"Margitsziget 3 Budapest HU, Budapest 1138",8.9,"(5,327)",£254total,Booking.com
192,Budapest,Citypark Villa Flat,District XIV - Zugló,9.9,(46),£215total,Booking.com
193,Budapest,Kempinski Hotel Corvinus Budapest,"Erzsébet Tér 7-8., Budapest 1051",9.1,"(2,308)",£658total,Booking.com
